CONTROL_NUMBER,survey_question,survey_value
00039659,causes donated to last year,4
00039660,causes donated to last year,0
00039665,causes donated to last year,0
00039667,causes donated to last year,1
00039690,causes donated to last year,2
00039695,causes donated to last year,4
00039701,causes donated to last year,0
00039712,causes donated to last year,0
00039717,causes donated to last year,1
00039721,causes donated to last year,4
00039753,causes donated to last year,2
00039761,causes donated to last year,1
00039765,causes donated to last year,5
00039770,causes donated to last year,1
00039795,causes donated to last year,2
00039797,causes donated to last year,0
00039805,causes donated to last year,2
00039808,causes donated to last year,2
00039815,causes donated to last year,0
00039816,causes donated to last year,2
00039819,causes donated to last year,3
00039826,causes donated to last year,4
00039862,causes donated to last year,0
00039869,causes donated to last year,2
00039881,causes donated to last year,3
00039885,causes donated to last year,3
00039913,causes donated to last year,0
00039918,causes donated to last year,4
00039920,causes donated to last year,4
00039924,causes donated to last year,2
00039931,causes donated to last year,1
00039935,causes donated to last year,1
00039940,causes donated to last year,1
00039963,causes donated to last year,4
00039967,causes donated to last year,5
00039972,causes donated to last year,3
00040005,causes donated to last year,1
00040006,causes donated to last year,2
00040012,causes donated to last year,1
00040013,causes donated to last year,1
00040039,causes donated to last year,5
00040052,causes donated to last year,2
00040055,causes donated to last year,0
00040058,causes donated to last year,5
00040084,causes donated to last year,4
00040096,causes donated to last year,4
00040105,causes donated to last year,3
00040113,causes donated to last year,1
00040122,causes donated to last year,1
00040130,causes donated to last year,4
00040138,causes donated to last year,2
00040154,causes donated to last year,5
00040180,causes donated to last year,2
00040193,causes donated to last year,2
00040212,causes donated to last year,4
00040223,causes donated to last year,5
00040224,causes donated to last year,3
00040232,causes donated to last year,0
00040234,causes donated to last year,3
00040276,causes donated to last year,3
00040283,causes donated to last year,4
00040285,causes donated to last year,3
00040313,causes donated to last year,4
00040317,causes donated to last year,5
00040329,causes donated to last year,4
00040335,causes donated to last year,5
00040338,causes donated to last year,1
00040341,causes donated to last year,3
00040344,causes donated to last year,1
00040350,causes donated to last year,1
00040351,causes donated to last year,5
00040379,causes donated to last year,4
00040381,causes donated to last year,1
00040383,causes donated to last year,2
00040388,causes donated to last year,1
00040396,causes donated to last year,0
00040407,causes donated to last year,0
00040421,causes donated to last year,5
00040425,causes donated to last year,5
00040452,causes donated to last year,3
00040465,causes donated to last year,5
00040470,causes donated to last year,5
00040501,causes donated to last year,0
00040516,causes donated to last year,5
00040520,causes donated to last year,1
00040543,causes donated to last year,1
00040565,causes donated to last year,0
00040566,causes donated to last year,2
00040576,causes donated to last year,0
00040579,causes donated to last year,3
00040585,causes donated to last year,4
00040596,causes donated to last year,3
00040605,causes donated to last year,1
00040615,causes donated to last year,0
00040616,causes donated to last year,4
00040625,causes donated to last year,2
00040637,causes donated to last year,3
00040655,causes donated to last year,4
00040659,causes donated to last year,5
00040664,causes donated to last year,1
00040691,causes donated to last year,5
00040699,causes donated to last year,4
00040716,causes donated to last year,4
00040738,causes donated to last year,0
00040748,causes donated to last year,0
00040757,causes donated to last year,1
00040786,causes donated to last year,4
00040804,causes donated to last year,0
00040820,causes donated to last year,4
00040824,causes donated to last year,4
00040826,causes donated to last year,2
00040845,causes donated to last year,1
00040867,causes donated to last year,2
00040891,causes donated to last year,2
00040918,causes donated to last year,3
00040919,causes donated to last year,4
00040921,causes donated to last year,4
00040943,causes donated to last year,1
00040956,causes donated to last year,4
00040968,causes donated to last year,1
00040969,causes donated to last year,5
00040977,causes donated to last year,4
00040981,causes donated to last year,3
00041000,causes donated to last year,2
00041022,causes donated to last year,1
00041032,causes donated to last year,5
00041057,causes donated to last year,1
